filename,timestamp,Hash
Lecture 1.2 - Module Content(1).pdf,2025-10-28 06:56:16,8983861b2f399d88ee88cef4501b1552d46d9fa6a0bc828fde83bc7d2e3723e8
week 1.pdf,2025-10-28 06:56:16,1d04764c1ea3d160cda29339f4bebb4af4f1621264780fcc85018fcb4f25a3ee
Week 7.pdf,2025-10-28 06:56:16,44cf72c0bad09b3e6857b396f08d0d2eb353f397ab25b45cf93ea3d696128a7d
